case_id,attempt_no,deploy_success,failed_stage,error_type
feature/attach_type_unsupported,1,false,attach_failed,attach_target_missing
feature/btf_unsupported,1,true,,
feature/map_type_unsupported,1,false,load_failed,map_type_unsupported
feature/map_type_unsupported,2,false,compile_failed,header_dependency_missing
feature/map_type_unsupported,3,true,,
feature/program_type_unsupported,1,false,load_failed,program_type_unsupported
feature/program_type_unsupported,2,false,compile_failed,helper_signature_mismatch
feature/program_type_unsupported,3,true,,
helper_func/helper_absent,1,false,compile_failed,header_dependency_missing
helper_func/helper_absent,2,false,compile_failed,header_dependency_missing
helper_func/helper_absent,3,false,compile_failed,header_dependency_missing
helper_func/helper_absent,4,false,compile_failed,header_dependency_missing
helper_func/helper_absent,5,false,compile_failed,
helper_func/helper_bpf_ktime_get_boot_ns,1,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_ktime_get_boot_ns,2,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_ktime_get_boot_ns,3,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_ktime_get_boot_ns,4,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_ktime_get_boot_ns,5,false,load_failed,
helper_func/helper_bpf_snprintf,1,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_snprintf,2,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_snprintf,3,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_snprintf,4,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_strncmp,1,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_strncmp,2,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_strncmp,3,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_strncmp,4,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_strncmp,5,true,,
kernel_struct/field_add_remove,1,false,compile_failed,header_dependency_missing
kernel_struct/field_add_remove,2,false,compile_failed,header_dependency_missing
kernel_struct/field_add_remove,3,true,,
kernel_struct/field_offset_change,1,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,2,false,compile_failed,header_dependency_missing
kernel_struct/field_offset_change,3,false,compile_failed,header_dependency_missing
kernel_struct/field_offset_change,4,false,compile_failed,header_dependency_missing
kernel_struct/field_offset_change,5,true,,
kernel_struct/field_renamed,1,false,compile_failed,header_dependency_missing
kernel_struct/field_renamed,2,true,,
kernel_struct/field_type_change,1,false,compile_failed,header_dependency_missing
kernel_struct/field_type_change,2,false,load_failed,verifier_memory_bounds
kernel_struct/field_type_change,3,false,load_failed,verifier_memory_bounds
kernel_struct/field_type_change,4,false,load_failed,verifier_memory_bounds
kernel_struct/field_type_change,5,false,load_failed,
verifier/loop_support,1,true,,
verifier/state_explosion,1,false,load_failed,verifier_memory_bounds
verifier/state_explosion,2,true,,
