case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
feature/attach_type_unsupported,false,false,7.88,attach_failed,attach_target_missing,0,1,0,0,0,7.85,0.00,0.00,0.00,1,1,false,false
feature/btf_unsupported,true,true,0.01,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
feature/map_type_unsupported,false,true,89.08,,,2,2,2,0,1,35.28,51.83,0.00,0.03,5,3,true,true
feature/program_type_unsupported,false,true,81.41,,,2,2,2,0,1,38.22,38.11,0.00,0.04,5,3,true,true
helper_func/helper_absent,false,false,179.26,compile_failed,,4,4,4,0,1,70.66,106.39,0.00,0.04,9,5,true,true
helper_func/helper_bpf_ktime_get_boot_ns,false,false,173.03,load_failed,,4,4,4,0,1,71.21,98.98,0.00,0.03,9,5,true,true
helper_func/helper_bpf_snprintf,false,false,157.15,load_failed,verifier_memory_bounds,3,4,3,0,0,79.43,75.57,0.00,0.00,7,4,true,false
helper_func/helper_bpf_strncmp,false,true,205.75,,,4,4,4,0,1,72.66,130.12,0.00,0.03,9,5,true,true
kernel_struct/field_add_remove,false,true,79.62,,,2,2,2,0,1,25.33,44.36,0.00,0.05,5,3,true,true
kernel_struct/field_offset_change,false,true,170.37,,,4,4,4,0,1,66.21,96.73,0.00,0.04,9,5,true,true
kernel_struct/field_renamed,false,true,35.02,,,1,1,1,0,1,8.59,20.26,0.00,0.02,3,2,true,true
kernel_struct/field_type_change,false,false,186.96,load_failed,,4,4,4,0,1,60.51,103.85,0.00,0.04,9,5,true,true
verifier/loop_support,true,true,0.03,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
verifier/state_explosion,false,true,53.76,,,1,1,1,0,1,14.28,38.39,0.00,0.06,3,2,true,true
