case_id,attempt_no,deploy_success,failed_stage,error_type
feature/attach_type_unsupported,1,false,attach_failed,attach_target_missing
feature/attach_type_unsupported,2,false,runtime_test_failed,kernel_struct_offset_mismatch
feature/attach_type_unsupported,3,false,runtime_test_failed,external_runtime_dependency_missing
feature/btf_unsupported,1,false,static_check_failed,helper_unsupported
feature/map_type_unsupported,1,false,static_check_failed,map_type_unsupported
feature/program_type_unsupported,1,false,static_check_failed,attach_type_unsupported
helper_func/helper_bpf_get_current_task_bpf,1,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_get_current_task_bpf,2,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_get_current_task_bpf,3,true,,
helper_func/helper_bpf_ktime_get_boot_ns,1,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_ktime_get_boot_ns,2,true,,
helper_func/helper_bpf_snprintf,1,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_snprintf,2,false,load_failed,verifier_memory_bounds
helper_func/helper_bpf_snprintf,3,true,,
helper_func/helper_bpf_strncmp,1,false,static_check_failed,helper_unsupported
helper_func/helper_bpf_strncmp,2,true,,
kernel_struct/field_add_remove,1,false,compile_failed,header_dependency_missing
kernel_struct/field_add_remove,2,false,compile_failed,header_dependency_missing
kernel_struct/field_offset_change,1,false,static_check_failed,helper_unsupported
kernel_struct/field_offset_change,2,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,3,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,4,false,runtime_test_failed,kernel_struct_offset_mismatch
kernel_struct/field_offset_change,5,false,runtime_test_failed,
kernel_struct/field_renamed,1,false,compile_failed,header_dependency_missing
kernel_struct/field_renamed,2,false,static_check_failed,helper_unsupported
verifier/loop_support,1,true,,
verifier/state_explosion,1,false,load_failed,verifier_memory_bounds
verifier/state_explosion,2,true,,
