case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
feature/attach_type_unsupported,false,false,110.55,static_check_failed,attach_type_unsupported,2,3,2,2,1,15.57,73.87,7.36,3.45,8,3,true,false
feature/btf_unsupported,false,true,158.69,,,4,1,4,4,1,7.41,129.29,13.15,3.43,10,2,true,true
feature/map_type_unsupported,false,true,43.81,,,1,1,1,1,1,24.42,9.00,7.38,1.41,4,2,true,true
feature/program_type_unsupported,false,false,27.74,static_check_failed,attach_type_unsupported,0,1,0,0,1,24.33,0.00,0.00,3.41,2,1,false,false
helper_func/helper_bpf_get_current_task_bpf,false,true,24.31,,,1,1,1,1,1,3.90,7.75,3.69,1.99,4,2,true,true
helper_func/helper_bpf_ktime_get_boot_ns,false,true,40.55,,,1,1,1,1,1,24.23,7.37,3.12,4.47,4,2,true,true
helper_func/helper_bpf_snprintf,false,false,62.20,static_check_failed,helper_api_compatibility,4,1,4,4,1,6.62,39.92,11.83,3.83,10,1,true,true
helper_func/helper_bpf_strncmp,false,false,92.38,static_check_failed,helper_api_compatibility,4,1,4,4,1,3.16,73.31,13.16,2.74,10,1,true,true
kernel_struct/field_add_remove,false,true,25.44,,,1,1,1,1,1,4.28,7.69,2.56,4.29,4,2,true,true
kernel_struct/field_offset_change,false,true,75.47,,,4,2,4,4,1,11.27,40.59,15.32,5.28,11,3,true,true
kernel_struct/field_renamed,false,false,69.51,static_check_failed,helper_api_compatibility,4,2,4,4,1,6.86,37.73,14.47,4.51,11,2,true,true
verifier/loop_support,true,true,0.02,,,0,0,0,0,0,0.00,0.00,0.00,0.00,0,1,,
verifier/state_explosion,false,true,28.97,,,1,1,1,1,1,5.64,16.60,4.08,1.64,4,2,true,true
