case_id,initial_deploy_state,final_deploy_state,total_time,final_failed_stage,final_error_type,total_repair_round,analyzer_round,repairer_round,inspector_round,refiner_round,analyzer_time_consumption,repairer_time_consumption,inspector_time_consumption,refiner_time_consumption,total_agent_calls,deploy_tool_round,first_analyzer_can_fix,last_analyzer_can_fix
feature/attach_type_unsupported,false,false,9.00,static_check_failed,attach_target_missing,0,1,0,0,1,5.91,0.00,0.00,3.09,2,1,false,false
feature/btf_unsupported,false,false,52.63,static_check_failed,helper_api_compatibility,4,1,4,4,1,6.42,30.10,12.28,3.85,10,1,true,true
feature/map_type_unsupported,false,true,22.78,,,1,1,1,1,1,6.11,8.77,5.55,1.45,4,2,true,true
feature/program_type_unsupported,false,false,9.45,static_check_failed,attach_type_unsupported,0,1,0,0,1,6.18,0.00,0.00,3.27,2,1,false,false
helper_func/helper_bpf_get_current_task_bpf,false,false,71.10,compile_failed,,4,4,4,4,1,18.94,34.13,11.97,4.40,13,5,true,true
helper_func/helper_bpf_ktime_get_boot_ns,false,true,18.46,,,1,1,1,1,1,6.65,6.23,2.63,2.07,4,2,true,true
helper_func/helper_bpf_snprintf,false,false,66.30,static_check_failed,helper_api_compatibility,4,1,4,4,1,5.77,44.61,12.84,3.08,10,1,true,true
helper_func/helper_bpf_strncmp,false,true,78.52,,,3,1,3,3,1,3.32,62.67,8.01,3.51,8,2,true,true
kernel_struct/field_add_remove,false,false,74.65,static_check_failed,core_requires_btf,4,1,4,4,1,3.20,55.26,12.49,3.69,10,1,true,true
kernel_struct/field_offset_change,false,false,77.50,runtime_test_failed,struct_member_offset_mismatch,4,2,4,4,1,13.11,42.98,17.41,3.21,11,2,true,true
kernel_struct/field_renamed,false,false,208.79,static_check_failed,helper_api_compatibility,4,1,4,4,1,2.60,189.25,14.04,2.90,10,1,true,true
verifier/loop_support,false,true,21.93,,,1,1,1,1,1,3.18,7.18,2.98,1.66,4,2,true,true
verifier/state_explosion,false,false,82.71,compile_failed,,4,4,4,4,1,16.02,47.71,11.29,5.16,13,5,true,true
