id,name,value_json
1,per_case_agent_calls_during_repair,"{""helper_func/helper_arg_decrease"": 3, ""kernel_struct/field_offset_change"": 3, ""verifier/dynptr_memory_model"": 3, ""verifier/kfunc_support"": 3}"
2,total_agent_calls_during_repair,12
3,initial_failure_count,4
4,total_repair_attempt_count,4
5,total_repair_success_case_count,0
6,total_repair_success_rate,0.0
7,total_fixed_time_sum,4
8,total_token_consumption_sum,null
9,category_has_repair_needed,"{""helper_func"": true, ""kernel_struct"": true, ""verifier"": true}"
10,category_repair_needed_case_count,"{""helper_func"": 1, ""kernel_struct"": 1, ""verifier"": 2}"
11,category_repair_success_case_count,"{""helper_func"": 0, ""kernel_struct"": 0, ""verifier"": 0}"
12,category_repair_success_rate,"{""helper_func"": 0.0, ""kernel_struct"": 0.0, ""verifier"": 0.0}"
13,category_total_fixed_time_sum,"{""helper_func"": 1, ""kernel_struct"": 1, ""verifier"": 2}"
14,category_total_token_consumption_sum,"{""helper_func"": null, ""kernel_struct"": null, ""verifier"": null}"
15,initial_failed_stage_distribution_count,"{""load_failed"": 2, ""runtime_test_failed"": 1, ""compile_failed"": 1}"
16,initial_failed_stage_distribution_ratio,"{""load_failed"": 0.5, ""runtime_test_failed"": 0.25, ""compile_failed"": 0.25}"
17,final_repair_result_counts,"{""success_count"": 14, ""failure_count"": 4}"
18,final_failed_stage_distribution_count_need_repair_initially,"{""load_failed"": 2, ""runtime_test_failed"": 1, ""compile_failed"": 1}"
19,final_failed_stage_distribution_ratio_need_repair_initially,"{""load_failed"": 0.5, ""runtime_test_failed"": 0.25, ""compile_failed"": 0.25}"
20,per_stage_repair_success_rate,"{""load_failed"": 0.0, ""runtime_test_failed"": 0.0, ""compile_failed"": 0.0}"
21,per_stage_repair_success_cases_count,"{""load_failed"": 0, ""runtime_test_failed"": 0, ""compile_failed"": 0}"
22,per_stage_repair_total_cases_count,"{""load_failed"": 2, ""runtime_test_failed"": 1, ""compile_failed"": 1}"
23,final_failure_stage_distribution_all,"{""load_failed"": 2, ""runtime_test_failed"": 1, ""compile_failed"": 1}"
24,final_failure_stage_distribution_all_ratio,"{""load_failed"": 0.5, ""runtime_test_failed"": 0.25, ""compile_failed"": 0.25}"
25,repair_round_histogram,"{""1"": 4}"
26,repair_round_average,1.0
27,repair_round_max,1
28,repair_rounds_per_case,"{""helper_func/helper_arg_decrease"": 1, ""kernel_struct/field_offset_change"": 1, ""verifier/dynptr_memory_model"": 1, ""verifier/kfunc_support"": 1}"
29,analyzer_last_can_fix_distribution,"{""can_fix_true"": 4, ""can_fix_false"": 0, ""can_fix_none"": 14}"
30,can_fix_true_final_success_case_count,0
31,can_fix_true_final_failed_case_count,4
32,can_fix_false_final_success_case_count,0
33,can_fix_false_final_failed_case_count,0
34,analyze_can_fix_mismatch_rate,1.0
35,error_signature_counts_top10,"[[""load_failed"", 2], [""runtime_test_failed"", 1], [""compile_failed:/host/data/verifier/dynptr_memory_model/dynptr_memory_model.bpf.c:34:23: error: variable has incomplete type 'struct bpf_dynptr'"", 1]]"
36,cases_hit_same_error_threshold_count,0
37,cases_hit_same_error_threshold_details,[]
38,error_signature_counts_aggregate_total_unique_signatures,3
39,per_case_last_analyzer_can_fix,"{""feature/attach_type_unsupported"": null, ""feature/btf_unsupported"": null, ""feature/isa_upgrade_incompatible"": null, ""feature/map_type_unsupported"": null, ""feature/program_type_unsupported"": null, ""helper_func/helper_absent"": null, ""helper_func/helper_arg_decrease"": true, ""helper_func/helper_arg_increase"": null, ""helper_func/helper_renamed"": null, ""kernel_struct/field_add_remove"": null, ""kernel_struct/field_offset_change"": true, ""kernel_struct/field_type_change"": null, ""kernel_struct/struct_nesting_or_rename"": null, ""verifier/bpf_to_bpf_fault"": null, ""verifier/dynptr_memory_model"": true, ""verifier/kfunc_support"": true, ""verifier/loop_support"": null, ""verifier/ptr_to_btf_id"": null}"
40,per_case_final_status,"{""feature/attach_type_unsupported"": ""success"", ""feature/btf_unsupported"": ""success"", ""feature/isa_upgrade_incompatible"": ""success"", ""feature/map_type_unsupported"": ""success"", ""feature/program_type_unsupported"": ""success"", ""helper_func/helper_absent"": ""success"", ""helper_func/helper_arg_decrease"": ""load_failed"", ""helper_func/helper_arg_increase"": ""success"", ""helper_func/helper_renamed"": ""success"", ""kernel_struct/field_add_remove"": ""success"", ""kernel_struct/field_offset_change"": ""runtime_test_failed"", ""kernel_struct/field_type_change"": ""success"", ""kernel_struct/struct_nesting_or_rename"": ""success"", ""verifier/bpf_to_bpf_fault"": ""success"", ""verifier/dynptr_memory_model"": ""compile_failed"", ""verifier/kfunc_support"": ""load_failed"", ""verifier/loop_support"": ""success"", ""verifier/ptr_to_btf_id"": ""success""}"
